Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Time_of_Day_Afternoon,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Time_of_Day_missing,Traffic_Conditions_High,Traffic_Conditions_Low,Traffic_Conditions_Medium,Traffic_Conditions_missing,Weather_Clear,Weather_Rain,Weather_Snow,Weather_missing,Day_of_Week_Weekend,Day_of_Week_missing,Trip_Price
-0.3999030139177974,0.48541880144235344,0.0743517434447167,-1.024476186853944,0.23233018979744172,-0.26097816224056825,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.5095953996664717
0.4936440174446806,-1.3798287632489035,-0.9422275189873203,-0.04749975498992031,-1.2810730091634626,-0.786162153520612,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.09818837764284188
0.1600939269703309,1.4180425837879818,-0.020213769339658925,-1.7155082971967903,-1.2810730091634626,1.7378943217914535,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.5044678927937433
-1.8119387905097354e-16,0.48541880144235344,-0.6703516697322406,-1.4295639756756127,0.23233018979744172,-1.2504184551778352,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.0199825881108149
-0.9461295382267098,-0.44720498090327493,-1.1195378554580249,1.143934918014987,1.65670967117241,0.8658667640648309,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.08227810822104031
-1.1904269286505835,1.4180425837879818,0.015248297954481675,1.0247914507144962,4.941809050081654e-16,-1.8086049450035737,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.127613259135037
0.82872415420561,0.48541880144235344,-0.6230689133400528,1.5251940133765576,-0.568883268475978,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1.0939050524052445
0.43397221226807703,-0.44720498090327493,-0.12659997122208125,0.6911897422731224,1.5676859535864744,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.46209187550667713
-1.8119387905097354e-16,1.4180425837879818,-1.296848191928729,-1.5487074429761034,1.2115910832427326,-1.133005719967191,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-1.037931334444474
0.7445716084437328,0.48541880144235344,1.3037034096415985,1.2869070787755759,-1.6371678795072047,0.790341815469876,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.7727856634539604
