holiday,temp,rain_1h,snow_1h,clouds_all,date_time_year,date_time_month,date_time_day,date_time_hour,date_time_dayofweek,date_time_quarter,date_time_month_sin,date_time_month_cos,date_time_dayofweek_sin,date_time_dayofweek_cos,date_time_hour_sin,date_time_hour_cos,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Squall,weather_main_Thunderstorm,weather_description_SQUALLS,weather_description_Sky is Clear,weather_description_broken clouds,weather_description_drizzle,weather_description_few clouds,weather_description_fog,weather_description_freezing rain,weather_description_haze,weather_description_heavy intensity drizzle,weather_description_heavy intensity rain,weather_description_heavy snow,weather_description_light intensity drizzle,weather_description_light intensity shower rain,weather_description_light rain,weather_description_light shower snow,weather_description_light snow,weather_description_mist,weather_description_moderate rain,weather_description_overcast clouds,weather_description_proximity shower rain,weather_description_proximity thunderstorm,weather_description_proximity thunderstorm with drizzle,weather_description_proximity thunderstorm with rain,weather_description_scattered clouds,weather_description_shower drizzle,weather_description_sky is clear,weather_description_smoke,weather_description_snow,weather_description_thunderstorm,weather_description_thunderstorm with heavy rain,weather_description_thunderstorm with light drizzle,weather_description_thunderstorm with light rain,weather_description_thunderstorm with rain,weather_description_very heavy rain,date_time_is_weekend_True,traffic_volume
-0.036745455504153535,0.7951602589914554,-0.12957138778379396,-0.030712737714604796,0.6652994091639008,2018,6,21,8,3,2,-0.0059415927270502124,-1.3568634231270404,0.6150294224147428,-1.281758346474594,1.1840544715752641,-0.7145657800813595,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1081621140229958
-0.036745455504153535,1.0198145593412469,-0.12957138778379396,-0.030712737714604796,-0.6366258148717894,2013,7,13,8,5,3,-0.7194165264696047,-1.1688501643586886,-1.3864231795419342,-0.32652309895474874,1.1840544715752641,-0.7145657800813595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.306176777292174
-0.036745455504153535,0.8977028142033812,-0.12957138778379396,-0.030712737714604796,1.0482185927038097,2018,5,21,17,0,2,0.7075333410155042,-1.1688501643586884,-0.0013750045379901782,1.3947513401221365,-1.3937089486286338,-0.3715349447354392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4289913658746933
-0.036745455504153535,0.9611069895634269,-0.12957138778379396,-0.030712737714604796,-0.9429611617037165,2014,6,10,22,1,2,-0.0059415927270502124,-1.3568634231270404,1.109347392905296,0.8646357714545054,-0.7380983997124148,1.228327412140684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43719866120055356
-0.036745455504153535,1.1239226497472465,-0.12957138778379396,-0.030712737714604796,1.0482185927038097,2015,8,28,17,4,3,-1.2417164278959933,-0.6551883889069562,-0.6177794314907229,-1.281758346474594,-1.3937089486286338,-0.3715349447354392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2092930738458134
-0.036745455504153535,-0.4784026213887225,-0.12957138778379396,-0.030712737714604796,1.0482185927038097,2012,11,4,6,6,4,-0.7194165264696057,1.2618234549849463,-1.1120974019812766,0.8646357714545051,1.3725719428330574,-0.003417514888249071,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.273148171460101
-0.036745455504153535,-0.6349561407962425,-0.12957138778379396,-0.030712737714604796,1.0482185927038097,2016,1,29,19,4,1,0.7075333410155042,1.261823454984947,-0.6177794314907229,-1.281758346474594,-1.393708948628634,0.3646999149589404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19300165493670945
-0.036745455504153535,0.4538735866830608,-0.12957138778379396,-0.030712737714604796,-1.2237685629663164,2014,5,11,9,6,2,0.7075333410155042,-1.1688501643586884,-1.1120974019812766,0.8646357714545051,0.9604379225115671,-1.0091330363824447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1801367140647214
-0.036745455504153535,1.3634495344407522,-0.12957138778379396,-0.030712737714604796,1.0482185927038097,2018,7,4,10,2,3,-0.7194165264696047,-1.1688501643586886,1.3836731704659537,-0.32652309895474846,0.6690151619845668,-1.2351624419171827,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6703478690679363
-0.036745455504153535,0.8061190053499807,0.11969186549932699,-0.030712737714604796,0.6652994091639008,2015,9,24,0,3,3,-1.4328914602121599,0.04648664531312901,0.6150294224147428,-1.281758346474594,-0.03454161886392358,1.4188790154979722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.366806400261528
