Age,Number_of_Dependents,Work_Experience,Household_Size,Education_Level_Bachelor's,Education_Level_Doctorate,Education_Level_High School,Education_Level_Master's,Occupation_Education,Occupation_Finance,Occupation_Healthcare,Occupation_Others,Occupation_Technology,Location_Rural,Location_Suburban,Location_Urban,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Employment_Status_Full-time,Employment_Status_Part-time,Employment_Status_Self-employed,Type_of_Housing_Apartment,Type_of_Housing_Single-family home,Type_of_Housing_Townhouse,Primary_Mode_of_Transportation_Biking,Primary_Mode_of_Transportation_Car,Primary_Mode_of_Transportation_Public transit,Primary_Mode_of_Transportation_Walking,Homeownership_Status_Rent,Gender_Male,Income
0.7878782420872679,1.4429036183326125,-0.2633653516291955,1.4974164732692516,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.40874732144348586
1.6429592758845917,-1.4744106120204257,-1.423625271214643,1.4974164732692516,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,-0.40712623259197733
0.13012360070471105,-0.890947765949818,-1.628377021729722,1.4974164732692516,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,-0.4091657732405216
-0.7907328972308685,-0.3074849198792103,0.48739106692609413,-1.4870702526195039,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-0.4076435312702026
1.0509800986402906,0.2759779261913973,-0.6728688526593535,0.005173110324873936,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,-0.09699524115845674
-1.2511611461986583,-0.890947765949818,-1.2871241042045904,-1.4870702526195039,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.4082552836348979
-0.3960801124013344,0.2759779261913973,-0.33161593513422183,0.005173110324873936,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1.5197838863302329
0.7878782420872679,-0.890947765949818,0.6238922339361468,1.4974164732692516,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.41008944243030393
-0.5276310406778458,0.859440772262005,1.3746486524914363,-0.9896557983047112,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,-0.41032557664647895
-0.26452918412482307,0.859440772262005,-0.2633653516291955,1.0000020189544592,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2.4004887300541697
