Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_F,Sex_I,Sex_M,Rings
-0.5745581331424137,-0.4321487936470637,-1.0644241467266955,-0.6418982280024725,-0.6076853645006243,-0.7262115735818162,-0.6382168891980078,-0.6748338290750633,-0.6880178825451705,1.31667715992019,15
-1.4489858478494209,-1.4399289969040678,-1.1839783068513945,-1.2302771064644882,-1.1709098401337676,-1.205221240836591,-1.2129873174176684,-0.6748338290750633,-0.6880178825451705,1.31667715992019,7
0.0500330916483057,0.1221303181442886,-0.1079908657291081,-0.3094692602752332,-0.4634998987385395,-0.3566898302709902,-0.2071390680332622,1.4818462811365198,-0.6880178825451705,-0.7594876181042093,9
-0.6994763781005576,-0.4321487936470637,-0.3470991859785052,-0.6378193449628745,-0.6482375267462106,-0.6075996559758721,-0.6022937374342789,-0.6748338290750633,-0.6880178825451705,1.31667715992019,10
-1.6155435077936124,-1.5407070172297683,-1.4230866271007911,-1.272085657620368,-1.2159677981844192,-1.2873371837945522,-1.320756772708855,-0.6748338290750633,1.45345059390131,-0.7594876181042093,7
-0.8243946230587016,-1.087205925764117,-1.0644241467266955,-0.9733074749698124,-0.983919314223564,-0.9406254246387156,-0.8537557997803805,-0.6748338290750633,1.45345059390131,-0.7594876181042093,8
0.0500330916483057,0.0717413079814383,0.2506716146449868,-0.1045053875354324,-0.55136291693731,-0.3566898302709902,0.6550165742962291,1.4818462811365198,-0.6880178825451705,-0.7594876181042093,20
0.1749513366064497,0.1725193283071389,-0.3470991859785052,-0.1238800819735229,-0.2945325560485966,-0.2836978809750245,0.1520924496040258,1.4818462811365198,-0.6880178825451705,-0.7594876181042093,16
-0.4080004731982221,-0.3817597834842134,-0.3470991859785052,-0.6510757148415682,-0.6437317309411454,-0.6212856464688656,-0.5304474339068213,-0.6748338290750633,-0.6880178825451705,1.31667715992019,9
0.2165907515924977,0.3236863587956897,0.2506716146449868,0.1341092702810522,-0.202163742044761,-0.2700118904820309,0.5831702707687715,1.4818462811365198,-0.6880178825451705,-0.7594876181042093,19
